,passer_player_name,player_id,total_passing_yards,pass_yds_per_attempt,pass_attempts,passing_tds,first_down_passes,cmp,ints,cmp_percentage,epa,yac_sum,yac_avg,air_epa_avg,yac_epa_avg,air_wpa_avg,yac_wpa_avg,two_pt_sum,sacks,fumbles,fumbles_to_turnovers,td_rate,int_rate,rusher_player_name,rushing_tds,rushing_yds_sum,rushing_yds_avg,fpts
51,P.Mahomes,00-0033873,3587.0,11.387301587301588,539.0,22.0,173.0,315.0,11.0,0.5844155844155844,0.1266177008834355,1895.0,6.015873015873016,0.4763280642073871,-0.26397235202966307,0.004169113814516605,0.0006371358974255658,2,34.0,0.0,1,0.04081632653061224,0.02040816326530612,P.Mahomes,5.0,422.0,6.59375,283.68
52,P.Rivers,00-0022942,544.0,9.379310344827585,97.0,4.0,30.0,58.0,3.0,0.5979381443298969,-0.11541789244580743,271.0,4.672413793103448,0.32598109505583434,-0.34593032687525327,0.00833947298757025,-0.007322255792457531,0,5.0,0.0,0,0.041237113402061855,0.030927835051546393,P.Rivers,0.0,-1.0,-0.5,31.660000000000004
53,Q.Ewers,00-0040234,622.0,11.309090909090909,91.0,3.0,29.0,55.0,3.0,0.6043956043956044,-0.06101253509462744,354.0,6.4363636363636365,0.32014035057446993,-0.23617306625918863,0.010395649382195076,-0.00801110517457328,0,8.0,1.0,0,0.03296703296703297,0.03296703296703297,Q.Ewers,0.0,19.0,2.375,32.779999999999994
54,R.Leonard,00-0040206,415.0,10.64102564102564,70.0,2.0,18.0,39.0,3.0,0.5571428571428572,-0.21720499000065438,180.0,4.615384615384615,0.6009775320094762,-0.689112161513152,-0.001857940266300547,-0.0003593556562323927,0,2.0,2.0,1,0.02857142857142857,0.04285714285714286,R.Leonard,2.0,27.0,4.5,31.3
55,R.Wilson,00-0029263,831.0,12.043478260869565,129.0,3.0,32.0,69.0,3.0,0.5348837209302325,-0.12152288363754012,376.0,5.449275362318841,0.6612706243309017,-0.6741634355380794,0.012628966601848804,-0.005106300309284768,0,10.0,0.0,1,0.023255813953488372,0.023255813953488372,R.Wilson,0.0,106.0,5.888888888888889,47.84
56,S.Buechele,00-0036679,88.0,12.571428571428571,19.0,0.0,4.0,7.0,0.0,0.3684210526315789,-0.3592354176549313,28.0,4.0,0.2370880428664229,-0.3616571537219125,-0.012910772647176492,0.00468905589410233,0,5.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,3.52
57,S.Darnold,00-0034869,4048.0,12.532507739938081,506.0,25.0,178.0,323.0,14.0,0.6383399209486166,0.12419289151967247,1778.0,5.504643962848297,0.4595578015691823,-0.20606045950743793,0.0004131529120232459,0.004733522055582642,2,27.0,8.0,4,0.04940711462450593,0.02766798418972332,S.Darnold,0.0,95.0,2.7142857142857144,239.41999999999996
58,S.Rattler,00-0039376,1586.0,9.114942528735632,275.0,8.0,74.0,174.0,5.0,0.6327272727272727,-0.13177145101798324,642.0,3.7109826589595376,0.4977223086792626,-0.5228905449734278,0.004667202213202802,-0.006444648480050572,0,18.0,4.0,1,0.02909090909090909,0.01818181818181818,S.Rattler,0.0,167.0,5.387096774193548,100.14
59,S.Sanders,00-0040668,1400.0,11.666666666666666,235.0,7.0,54.0,120.0,10.0,0.5106382978723404,-0.2988679217050533,809.0,6.741666666666666,0.19723356768634867,-0.3331703371247047,0.0030626469359595083,-0.006390623829310429,0,23.0,3.0,1,0.029787234042553193,0.0425531914893617,S.Sanders,1.0,169.0,8.047619047619047,84.9
60,T.Bridgewater,00-0031237,62.0,7.75,17.0,0.0,2.0,8.0,0.0,0.47058823529411764,-0.7352074676275475,52.0,6.5,-0.05656429148123892,-0.1934415393858215,0.06346070625198384,-0.06355667180420518,0,2.0,0.0,0,0.0,0.0,T.Bridgewater,0.0,4.0,1.3333333333333333,2.88
61,T.Huntley,00-0035993,426.0,8.192307692307692,75.0,2.0,19.0,52.0,0.0,0.6933333333333334,0.029738700531254842,148.0,2.8461538461538463,0.34531170796079813,-0.17163235170157562,0.00260891860428577,0.0031154237009595937,0,8.0,1.0,0,0.02666666666666667,0.0,T.Huntley,0.0,151.0,6.291666666666667,40.14
62,T.Lance,00-0037012,226.0,8.37037037037037,63.0,0.0,10.0,27.0,1.0,0.42857142857142855,-0.6264554374538467,105.0,3.888888888888889,0.6726027185664036,-1.1286296601349493,0.0334747000029069,-0.03882959645691596,0,6.0,1.0,1,0.0,0.015873015873015872,T.Lance,0.0,85.0,5.0,13.54
63,T.Lawrence,00-0036971,4007.0,11.750733137829911,603.0,29.0,194.0,341.0,12.0,0.5655058043117744,0.05469792621481942,1631.0,4.782991202346041,0.5915562195869535,-0.4162147174595788,0.0023900033006710036,0.0020598055697403934,0,41.0,3.0,2,0.04809286898839138,0.01990049751243781,T.Lawrence,9.0,359.0,4.378048780487805,338.17999999999995
64,T.McKee,00-0038400,274.0,11.416666666666666,46.0,1.0,16.0,24.0,1.0,0.5217391304347826,-0.05352039444692657,100.0,4.166666666666667,0.7833939323243737,-0.7994127512510368,0.0074512098169267965,-0.011962374564000358,0,3.0,0.0,0,0.021739130434782608,0.021739130434782608,T.McKee,0.0,8.0,1.0,13.760000000000002
65,T.Shough,00-0040743,2384.0,10.787330316742082,359.0,10.0,107.0,221.0,6.0,0.6155988857938719,-0.028783174354960375,1051.0,4.755656108597285,0.39913434393599373,-0.23482472730965087,0.00631929096501848,0.0005701883525282923,0,31.0,3.0,1,0.027855153203342618,0.016713091922005572,T.Shough,3.0,186.0,4.133333333333334,157.96
66,T.Tagovailoa,00-0036212,2660.0,10.23076923076923,417.0,20.0,142.0,260.0,15.0,0.6235011990407674,0.01982457042441906,1410.0,5.423076923076923,0.3673302246802712,-0.22052816122994454,0.006350826873468304,-0.002689052082671286,1,30.0,2.0,1,0.047961630695443645,0.03597122302158273,T.Tagovailoa,0.0,43.0,2.15,160.70000000000002
67,T.Taylor,00-0028118,779.0,9.7375,148.0,5.0,41.0,80.0,5.0,0.5405405405405406,-0.08996561334785756,331.0,4.1375,0.5883962076369154,-0.548367079002471,0.015710462194718444,-0.017117237532192554,0,14.0,1.0,1,0.033783783783783786,0.033783783783783786,T.Taylor,1.0,143.0,5.296296296296297,59.459999999999994
68,Z.Wilson,00-0037013,32.0,5.333333333333333,11.0,0.0,3.0,6.0,0.0,0.5454545454545454,-0.6019404023113144,23.0,3.8333333333333335,-0.21418013613649853,-0.3877602661748165,-0.04606093141906471,0.04599291804135484,0,0.0,0.0,0,0.0,0.0,Z.Wilson,0.0,1.0,0.3333333333333333,1.3800000000000001
